"label","workload","rep","elapsed","runtime.set_active.calls","runtime.set_active.on","runtime.alloc.fastpath.calls","runtime.alloc.fastpath.serial","runtime.alloc.fastpath.parallel","runtime.heap.enter.calls","runtime.heap.enter.skip_inactive","runtime.heap.enter.skip_worker","runtime.heap.enter.wait_exclusive","runtime.heap.enter.inflight_inc","runtime.heap.exit.calls","runtime.heap.exit.skip_inactive","runtime.heap.exit.skip_worker","runtime.heap.exit.inflight_dec","runtime.free_node.calls","runtime.free_node.serial","runtime.free_node.cas","runtime.free_node.cas_retry","shared.reader.enter.calls","shared.reader.retry_after_set","shared.reader.wait.loops","shared.reader.wait.condwait","shared.reader.exit.calls","shared.writer.begin.calls","shared.writer.wait.loops","shared.writer.wait.condwait","shared.writer.end.calls","shared.writer.unlock_all.calls","shared.writer.scan.calls","shared.writer.scan.workers","shared.env.mutcheck.calls","shared.env.mutcheck.inactive","shared.env.mutcheck.worker","shared.env.mutcheck.nonenv","shared.env.mutcheck.shared_true","shared.env.searchpath.calls","shared.env.searchpath.true","shared.env.worker_access.true"
"mtl","no_alloc_loop",4e+07,0.471,0,0,13237,13237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2614,2614,0,0,0,0,0,0
"mtl","no_alloc_loop",4e+07,0.472,0,0,45945,45945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2445,2445,0,0,0,0,0,0
"mtl","no_alloc_loop",4e+07,0.471,0,0,13202,13202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655,655,0,0,0,0,0,0
"mtl","no_alloc_loop",4e+07,0.475,0,0,13202,13202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655,655,0,0,0,0,0,0
"mtl","no_alloc_loop",4e+07,0.47,0,0,13202,13202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655,655,0,0,0,0,0,0
"mtl","lookup_only",2e+07,0.439,0,0,15362,15362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754,754,0,0,0,0,0,0
"mtl","lookup_only",2e+07,0.437,0,0,15340,15340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754,754,0,0,0,0,0,0
"mtl","lookup_only",2e+07,0.435,0,0,15340,15340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754,754,0,0,0,0,0,0
"mtl","lookup_only",2e+07,0.437,0,0,15340,15340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754,754,0,0,0,0,0,0
"mtl","lookup_only",2e+07,0.437,0,0,15340,15340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754,754,0,0,0,0,0,0
"mtl","alloc_small",6e+05,0.827,0,0,21670114,21670114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3292,3292,0,0,0,0,0,0
"mtl","alloc_small",6e+05,0.806,0,0,21670449,21670449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3301,3301,0,0,0,0,0,0
"mtl","alloc_small",6e+05,0.822,0,0,21670449,21670449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3301,3301,0,0,0,0,0,0
"mtl","alloc_small",6e+05,0.825,0,0,21670449,21670449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3301,3301,0,0,0,0,0,0
"mtl","alloc_small",6e+05,0.845000000000001,0,0,21670449,21670449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3301,3301,0,0,0,0,0,0
"mtl","readme_alloc_pressure",1,2.45,0,0,17642681,17642681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4667,4667,0,0,0,0,0,0
"mtl","readme_alloc_pressure",2,2.462,0,0,17562546,17562546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866,866,0,0,0,0,0,0
"mtl","readme_alloc_pressure",3,2.391,0,0,17562545,17562545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866,866,0,0,0,0,0,0
"mtl","readme_etl_group_mean",1,2.141,0,0,135465,135465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5420,5420,0,0,0,0,0,0
"mtl","readme_etl_group_mean",2,2.126,0,0,42495,42495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,738,738,0,0,0,0,0,0
"mtl","readme_etl_group_mean",3,2.141,0,0,42495,42495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,738,738,0,0,0,0,0,0
