"label","workload","rep","elapsed"
"mtl_nostats","no_alloc_loop",4e+07,0.38
"mtl_nostats","no_alloc_loop",4e+07,0.38
"mtl_nostats","no_alloc_loop",4e+07,0.38
"mtl_nostats","no_alloc_loop",4e+07,0.382
"mtl_nostats","no_alloc_loop",4e+07,0.38
"mtl_nostats","lookup_only",2e+07,0.436
"mtl_nostats","lookup_only",2e+07,0.432
"mtl_nostats","lookup_only",2e+07,0.437
"mtl_nostats","lookup_only",2e+07,0.431
"mtl_nostats","lookup_only",2e+07,0.435
"mtl_nostats","alloc_small",6e+05,0.83
"mtl_nostats","alloc_small",6e+05,0.819
"mtl_nostats","alloc_small",6e+05,0.82
"mtl_nostats","alloc_small",6e+05,0.836
"mtl_nostats","alloc_small",6e+05,0.827999999999999
"mtl_nostats","readme_alloc_pressure",1,2.468
"mtl_nostats","readme_alloc_pressure",2,2.489
"mtl_nostats","readme_alloc_pressure",3,2.488
"mtl_nostats","readme_etl_group_mean",1,2.087
"mtl_nostats","readme_etl_group_mean",2,2.053
"mtl_nostats","readme_etl_group_mean",3,2.047
