"label","workload","rep","elapsed"
"ref","no_alloc_loop",4e+07,0.357
"ref","no_alloc_loop",4e+07,0.357
"ref","no_alloc_loop",4e+07,0.362
"ref","no_alloc_loop",4e+07,0.361
"ref","no_alloc_loop",4e+07,0.361
"ref","lookup_only",2e+07,0.413
"ref","lookup_only",2e+07,0.411
"ref","lookup_only",2e+07,0.41
"ref","lookup_only",2e+07,0.408
"ref","lookup_only",2e+07,0.408
"ref","alloc_small",6e+05,0.614
"ref","alloc_small",6e+05,0.62
"ref","alloc_small",6e+05,0.616
"ref","alloc_small",6e+05,0.619
"ref","alloc_small",6e+05,0.62
"ref","readme_alloc_pressure",1,2.012
"ref","readme_alloc_pressure",2,2.003
"ref","readme_alloc_pressure",3,2.015
"ref","readme_etl_group_mean",1,1.74
"ref","readme_etl_group_mean",2,1.627
"ref","readme_etl_group_mean",3,1.67
